"id","label","parent","obsolete"
"Agriculture","Agriculture","","0"
"Apparel","Apparel","","0"
"Banking","Banking","","0"
"Biotechnology","Biotechnology","","0"
"Chemicals","Chemicals","","0"
"Communications","Communications","","0"
"Construction","Construction","","0"
"Consulting","Consulting","","0"
"Education","Education","","0"
"Electronics","Electronics","","0"
"Energy","Energy","","0"
"Engineering","Engineering","","0"
"Entertainment","Entertainment","","0"
"Environmental","Environmental","","0"
"Finance","Finance","","0"
"Food &amp; Beverage","Food &amp; Beverage","","0"
"Government","Government","","0"
"Healthcare","Healthcare","","0"
"Hospitality","Hospitality","","0"
"Insurance","Insurance","","0"
"Machinery","Machinery","","0"
"Manufacturing","Manufacturing","","0"
"Media","Media","","0"
"Not For Profit","Not For Profit","","0"
"Recreation","Recreation","","0"
"Retail","Retail","","0"
"Shipping","Shipping","","0"
"Technology","Technology","","0"
"Telecommunications","Telecommunications","","0"
"Transportation","Transportation","","0"
"Utilities","Utilities","","0"
"Other","Other","","0"
